1002,Une pensée de rationalité,0,Jour 1; 1586
1622,Capsules,0,Jour 1; 552
2401,Baguette de pain,0,Jour 1; 424
4557,Manteau,0,Jour 1; 2036
4599,Torche,0,Jour 1; 1399
553,Champignon,0,Jour 1; 1168
666,Bâton,0,"Jour 1; Une longue journée en montagne; La journée a été beaucoup trop difficile, je dois rentrer me reposer. Impossible de continuer dans ces conditions"
Aazzidy,Bouclier en bois,1,"Jour 1; Un collectionneur, il devrait pouvoir m'acheter quelques broutilles; Je n'avais rien pour lui malheureusementJour 2; Je me baladais dans un marché, au milieu de la foule, quand j'ai entendu un cri dans ma direction 'Au voleur !'; Je n'ai rien pu faire, il m'a tout pris !Jour 3; Des loups !; J'ai dû fuir ! C'était la seule chose que je pouvais faire !Jour 4; Un bon endroit pour faire une pause; Il était temps de reprendre la routeJour 5; Devant moi se trouvait une rivière de lave, impossible de continuer sans traverser"
addo-solitudo-voluptatem-demo-theatrum-apostolus,Champignon,4,"Jour 1; Une falaise se dressait devant moi; Je ferais mieux de trouver un nouveau passageJour 2; Une longue journée en montagne; C'était une longue journée de marcheJour 3; Une journée de balade en forêt; C'était une longue journée de marcheJour 4; Une chasseuse de trésors s'est présentée à moi; Elle m'a donnée une carte au trésor et m'a demandée de revenir la voir si je trouvais quelque chose; GET 553GET 1622GET undique-ancilla-uberrime-sol-quas-contegoGET addo-solitudo-voluptatem-demo-theatrum-apostolusGET calamitas-tumultus-articulus-titulus-coerceo-vulgoJour 5; Un bon endroit pour faire une pause; Un petit casse-croûte avant de reprendre la route; Il était temps de reprendre la routeJour 6; Un château abandonné au milieu d'une forêt; Il ne semblait n'y avoir personne dans ce château, je pourrais peut-être trouver un endroit où m'installer pour la nuit; J'entendais un bruit provenant du sous-sol du château, on aurait dit des bruits de pas et de métal qui s'entrechoquaient; Je n'avais rien pour me défendre, je ferais mieux de partir discrètement d'iciJour 7; Il faisait vraiment très sombre ici; J'aurais mieux fait de ne pas m'aventurer ici, j'aurais dû chercher un autre chemin"
adimpleo-adficio-amplus-ascit-volva-contra,Baguette de pain,4,"Jour 1; Une longue journée en montagne; C'était une longue journée de marcheJour 2; Une falaise se dressait devant moi; Je ferais mieux de trouver un nouveau passageJour 3; Une journée de balade en forêt; C'était une longue journée de marcheJour 4; Un bon endroit pour faire une pause; Un petit casse-croûte avant de reprendre la route; Il était temps de reprendre la routeJour 5; Un dragon dormait juste devant moi. Derrière lui se trouvait un trésor d'une valeur inestimable. Repartir vivant avec quelques pierres précieuses, c'était l'assurance d'une vie paisible; Je tenais à ma vie, il fallait que je parte rapidement d'ici"
admitto-natus-cubo-censura-antepono-condico,Baguette de pain,1,"Jour 1; Un chasseur de trésors s'est présenté à moi; Il m'a donné une carte au trésor et m'a demandé de revenir le voir si je trouvais quelque chose; GET tertius-alioqui-quasi-tergum-vitae-arcessoGET quia-cibo-cruentus-vestrum-ipsa-araneaGET corroboro-virga-celer-candidus-coma-ciminatioGET addo-solitudo-voluptatem-demo-theatrum-apostolusJour 2; Un château abandonné au milieu d'une forêt; Il ne semblait n'y avoir personne dans ce château, je pourrais peut-être trouver un endroit où m'installer pour la nuit; J'entendais un bruit provenant du sous-sol du château, on aurait dit des bruits de pas et de métal qui s'entrechoquaient; Je n'avais rien pour me défendre, je ferais mieux de partir discrètement d'iciJour 3; Une journée de balade en forêt; C'était une longue journée de marcheJour 4; Des loups !; J'ai dû fuir ! C'était la seule chose que je pouvais faire !"
