1002,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,0,Jour 1; 10255
1622,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,0,Jour 1; 10255
2401,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,0,Jour 1; 10255
4557,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,0,Jour 1; 10255
4599,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,0,Jour 1; 10255
553,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,0,Jour 1; 10255
666,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,2,"Jour 1; Une longue journée en montagne; C'était une longue journée de marcheJour 2; Devant moi se trouvait une rivière de lave, impossible de continuer sans traverser"
Aazzidy,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,10,"Jour 1; Un collectionneur, il devrait pouvoir m'acheter quelques broutilles; Je n'avais rien pour lui malheureusementJour 2; Je me baladais dans un marché, au milieu de la foule, quand j'ai entendu un cri dans ma direction 'Au voleur !'; Heureusement, j'avais de quoi me défendre ! Il est reparti bredouilleJour 3; Des loups !; J'étais suffisamment armé pour leur tenir têteJour 4; Un bon endroit pour faire une pause; J'avais pu rallumer ce vieux feu de camp; C'était le bon moment pour un bon repas; Il était temps de reprendre la routeJour 5; Devant moi se trouvait une rivière de lave, impossible de continuer sans traverser"
addo-solitudo-voluptatem-demo-theatrum-apostolus,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,15,"Jour 1; Une falaise se dressait devant moi; Je ferais mieux de trouver un nouveau passageJour 2; Une longue journée en montagne; C'était une longue journée de marcheJour 3; Une journée de balade en forêt; C'était une longue journée de marcheJour 4; Une chasseuse de trésors s'est présentée à moi; Elle m'a donnée une carte au trésor et m'a demandée de revenir la voir si je trouvais quelque chose; GET 553GET 1622GET undique-ancilla-uberrime-sol-quas-contegoGET addo-solitudo-voluptatem-demo-theatrum-apostolusGET calamitas-tumultus-articulus-titulus-coerceo-vulgoJour 5; Un bon endroit pour faire une pause; J'avais pu rallumer ce vieux feu de camp; C'était le bon moment pour un bon repas; Il était temps de reprendre la routeJour 6; Un château abandonné au milieu d'une forêt; Il ne semblait n'y avoir personne dans ce château, je pourrais peut-être trouver un endroit où m'installer pour la nuit; Je me suis installé·e dans une chambre à l'abri du vent et allumé un feu; J'entendais un bruit provenant du sous-sol du château, on aurait dit des bruits de pas et de métal qui s'entrechoquaient; En arrivant au sous-sol, je suis tombé·e sur des armures animées par la magie, elles protégeaient probablement quelque chose; J'ai poussé une porte piégée et une flèche sortie d'un mur s'est plantée directement dans mon ventre, j'ai pu éviter la mort grâce à une potion de soins; Derrière la porte se trouvait une salle au trésor, j'y ai trouvé une petite statuette en or particulièrement sublimeJour 7; Il faisait vraiment très sombre ici; J'avais de quoi m'éclairer"
adimpleo-adficio-amplus-ascit-volva-contra,Fumigène/Arc/Hibou/Dague/Fromage/Viandes séchées/Hibou/Gourde d'eau/Potion de soin/Torche,11,"Jour 1; Une longue journée en montagne; C'était une longue journée de marcheJour 2; Une falaise se dressait devant moi; Je ferais mieux de trouver un nouveau passageJour 3; Une journée de balade en forêt; C'était une longue journée de marcheJour 4; Un bon endroit pour faire une pause; J'avais pu rallumer ce vieux feu de camp; C'était le bon moment pour un bon repas; Il était temps de reprendre la routeJour 5; Un dragon dormait juste devant moi. Derrière lui se trouvait un trésor d'une valeur inestimable. Repartir vivant avec quelques pierres précieuses, c'était l'assurance d'une vie paisible; J'ai réussi à me faufiler. Mais je n'avais pas de place dans mon sac...; J'ai réussi à me faufiler sans un bruit et à récupérer quelque chose"
